Unnamed: 0,country,artist,title,lyrics
40,Lithuania,The Weeknd,Blinding Lights,"I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
41,Luxembourg,The Weeknd,Blinding Lights,"I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
42,Malaysia,James Arthur,Say You Won't Let Go,"I held your hair back when you were throwin' up

Then, you smiled over your shoulder
For a minute, I was stone-cold sober
I pulled you closer to my chest
And you asked me to stay over
I said, ""I already told ya
I think that you should get some rest""

I knew I loved you then, but you'd never know
'Cause I played it cool when I was scared of letting go
I knew I needed you, but I never showed
But I wanna stay with you until we're grey and old

Just say you won't let go
Just say you won't let go

I'll wake you up with some breakfast in bed
I'll bring you coffee with a kiss on your head
And I'll take the kids to school, wave them goodbye
And I'll thank my lucky stars for that night
See James Arthur LiveGet tickets as low as $43You might also like
When you looked over your shoulder
For a minute, I forget that I'm older
I wanna dance with you right now, woah
And you look as beautiful as ever
And I swear that every day, you'll get better
You make me feel this way somehow

I'm so in love with you and I hope you know
Darlin', your love is more than worth its weight in gold
We've come so far, my dear, look how we've grown
And I wanna stay with you until we're grey and old

Just say you won't let go
Just say you won't let go

I wanna live with you even when we're ghosts
'Cause you were always there for me when I needed you most

I'm gonna love you till my lungs give out
I promise till death we part, like in our vows
So, I wrote this song for you, now everybody knows
That it's just you and me till we're grey and old
Just say you won't let go
Just say you won't let go
Just say you won't let go
Oh, just say you won't let go153Embed"
43,Malta,Ed Sheeran,Shape of You,"Drinkin' fast and then we talk slow (Mm)
And you come over and start up a conversation with just me
And trust me, I'll give it a chance now (Mm)
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance and now I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body
See Ed Sheeran LiveGet tickets as low as $85You might also like
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

One week in, we let the story begin
We're goin' out on our first date (Mm)
You and me are thrifty, so go all-you-can-eat
Fill up your bag and I fill up a plate (Mm)
We talk for hours and hours about the sweet and the sour
And how your family is doin' okay (Mm)
And leave and get in a taxi, and kiss in the back seat
Tell the driver make the radio play and I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you409Embed"
44,Mexico,Danny Ocean,Me Rehúso,"BA-BA-Babylon Girl, Ba-Ba-Babylon Girl
This song is for you

Tell me how I explain to my destiny that you are no longer there
Tell me how I will give off this frenzy
This madness I feel for you
With this chemistry you do in me
And I can't, girl, I can't, girl

Baby disculp me if I excited you I didn't want to do it
I know that in love when that is real, come back (come back, come back)
But how to forget your skin and how to forget a woman
I can't, Girl, I can't, Girl

Baby, no (baby, no)
I refuse to give you a last kiss so keep it (guádalo)
So that next time I will do it (doing it)
Doing it like this, so
Just as you like, baby
See Danny Ocean Liveget Tickets As Low As $ 47you Might Also Like
Without looking back, without looking for anyone else
I just want to be with you, wouh
If I don't have you here with me I don't want to be your friend
Because you are my path, Wouh
And I just want to be with you
Baby, please understand him
Just give me your hand and trust me
If you miss just my voice
And give him time (time), mommy, at the same time (time)
That you, that I, are made to be both
And give him time (time), baby, at the same time (time)
That you and me, that you and me
We are made to be both

Baby, no (baby, no)
I refuse to give you a last kiss so keep it (guádalo)
So that next time I will do it (doing it)
Doing it like this, so
Just as you like, baby
Baby, no
I refuse to give you a last kiss so keep it (guádalo)
So that next time I will do it to you
Doing it like this, so
Just as you like, baby
Thus, as you like, Baby

Baby no
Baby, no (baby, no)
I refuse to give you a last kiss so keep it (guádalo)
So that next time I will do it to you
Doing it like this, so
Just as you like baby
And baby, no (baby, no)
I refuse to give you a last kiss so keep it (guádalo)
So that next time I will do it to you
Doing so, so
Just as you like baby21embed"
45,Morocco,CKay,love nwantiti,"I swear you are like the oxygen i need to survive
I’ll be honest
Your lovin dey totori me
I am so obsessed
I want to chop your nkwobi
Ule your body dey gbakam isi
Ule open am make i see ule
Nyem love nwantinti
Wey fit make a bad man sing o
Chorus:
Ah ah ah ah ah ah
Ah ah ah ah ah ah ahh
(x4)
Verse 2:
Ouais toute ma vie w’kandour b’lil, Jack fl’ydd, j’essaye d’te pister bébé (yea-ea-eah)
Sombre est ma ville, 9bel 12 d’lil, kanchreb, kanshoufek fl’kissan bébé (yea-ea-eah)
Très jolies cuisses, là j’décale la ficelle, zine bombe atomique : m3aki baghi nchouf mon fils yea-yeah
7ta walidik bghaw y3erfo fin saken, f’7yati chnou kandir : Kanserref La Sal3a d’Issaguen
Gelbi chafek ghewwet « Aah-ah-ah-ah-ah-ah »
To’ vaillant Bhal Kirikou, 3la weddek mankhsser ta Combaa-a-a-a-a-at
Lovini my baby boo, lovini ghandirou fawda
You might also likeChorus:
Ah ah ah ah ah ah
Ah ah ah ah ah ah ahh
(x4)
Outro:
You mean the world to me
You’re my living fantasy
Ayayaa i love you
Ayayaa no one above youEmbed"
46,Netherlands,Davina Michelle,Duurt Te Lang,"In a letter, a text message, I wrote in a song
""I will do everything for you and I live for your love""
And I got that love, and often in for over
You could leave the thresholds of life to me
You saw those girls hate because I had my superhero
You had just told your friends about me too often
Now we are staring together at the table with the mouths closed
Looks that speak of our face automatically
I have done the vast majority of everything
But I drive too long in this tunnel and I don't see light
So close your eyes for our last set
And think back to the small house with the small bed
Shit, but tomorrow the pain will be back
We spend hours at the stop, the train runs back

It takes too long
We've been here for a while
And we have to go through
So for the last time, I'm sorry
It takes too long, Woah
It takes too long
We stand still what you want, what I want
It takes too long
See Davina Michelle LiveGet Tickets As Low As $ 61You Might also Like
Two silent people at the table, it's not a face
I can't walk that route with my eyes closed
You know exactly what I'm going to say, I know about you too
And at the end I will tell you how much I love you
And then the doors beat again and another glass breaks
Then another tear falls and I grab my bag again
And then I will hold you firmly again
And put my clothes back in the cupboard
(So) I will hold you for a while
(Because) you will forget how angry you were
But the pain stays on, so it doesn't help
So probably it will be the same song again tomorrow
The text comes down to the same beat
A kind of golden paint on a block of sorrow
Conflicts are normal, but it should not suffocate us
My tears do not fall, so I let the song sob

It takes too long
We've been here for a while
And we have to go through
So for the last time, I'm sorry
It takes too long, Woah
It takes too long
(We stand still what you want, what I want)
It takes too long4embed"
47,New Zealand,L.A.B.,In the Air,"And call me when you'll be far
I don't wanna let you down
Slow leaving up too long
Ooh, I feel it in the air
You know me, I'll keep you on

It's evident you want me now (Baby)
My heart's beating on the floor
I see it and then turn around
You move me but I want more
The memory is in the air
(The memory is in the air)
And music is all we need
Ooh, I feel it, can't you see?
(Can't you see?)
You know me, I'll keep you there

Ooh, I get that feeling
Can I take you on a ride?
(Take you on a ride?)
Knowing what I know
I can see it, baby, in your eyes
'Cause it's going, we're full 'til the morning
On the burning night, hey
I can take a chance
Loving your romance tonight
You might also like
Girl, you know you turn me on
(Know you turn me on)
I like it, oh, can't you see?
The way you're moving on the floor
(Moving on the floor)
The fire, the way you breathe
Can I take you home tonight?
(You can take me home tonight)
We're flying beneath the sheets
Holding on to make me strong (Ooh)
Tonight is the night I needEmbed"
48,Nicaragua,J Balvin,LA CANCIÓN,"I thought I had forgot you, huh
But they put the song, huh, eh, eh
That Cantamo ’well drunk '
That dancing 'well drunk ’
We kissed 'well drunk' the two
I thought I had forgot you, huh
But they put the song, huh, eh, eh
That Cantamo 'well drunk'
That dancing 'well drunk'
We kissed ’well drunk’ both
I thought I had forget you

Just when he believed
That for eating do ’or ten, I would forget you '(Yeh)
I took a breath and got out of the road
And like a asshole, I didn't know what he was doing
I never overcame it, I never overcome you (no; no)
I even learned to'a the 'ballad ’in English' (Yeh)
I breathed and told up to three (one, two, three)
Ere 'Kanye West's dark fantasy, baby, ey
A long time ago it came out expensive (yih)
I only twitteo, 'crazy' shot (yih)
How to forget the beautiful car in the car?
What did he guide alone?
You Might Also Like
I thought I had 'forget you (but not), Yeh
But they put the song, Yeh, Yeh
That we sing well drunk
What dance 'well drunk
We kissed 'well drunk' lo 'dos
I thought I had 'forget you, huh
But they put the song, Yeh, Yeh
That Cantamo 'well drunk'
That dancing 'well drunk'
We kissed 'well drunk' both, hey, hey

And I hadn't come to my head for a long time
But they are already a couple of beer '
And I remembered how you kisses me '
Of to 'lo' dust 'on top' and the table
And in the car, the beach, and the motel
At your Pai's house, when I was going to see you
I see them that you 'no' came to take
You jumping Mojaíta ', sweating Chanel
I know that ours yesterday
And it makes me happy that you do well with him
I neither missed you nor wanted to see you
But they put the song you liked to put
And I remembered you, when you made me happy
It ended, then, I left, he
I laugh myself because—
I thought I had 'forget you, huh
But they put the song, Yeh, Yeh
That we sing well drunk
What dance 'well drunk
We kissed 'well drunk' lo 'do'


And I thought your name was dead, huh
But I dreamed you awake, hey
Today I left the loose street
Without feeling ', the desert heart
And I thought your name was dead
But I dreamed you awake
Today I left the loose street
Without feeling ', the desert heart11embed"
49,Nigeria,Asake,Lonely At The Top,"The yan is very difficult to the coll (OMan, Lyan, Lamevand)
Fyy on my soul (OOone, money)
Don’t be careful to be careful what it is one of me in my pertoicts Bartu
Mes can I, Can me, I't me.
And he on the road on the road, I dumed me because we know he're tubbed
No one can chas for me.

I was the kingdom of God's Word at his Word, Abin's Word was God’s Word (bob gagraph)
I was the Word of the truth.
I had to be done for the truth.
I'm finding looking at anyone’s money he wants (alone.
No people hear what people talk (Poonis they talked)
I was the Word of the truth that I had done to be.
This life is one, I don't have to have a hands.
He went to tileage wife to do what he wants to love

What you love tiage Hageage
Don’t be what he wants to love.
What he loves he will do him with all my heart.
O go outrona don't be a vutions.
Mrr y.Fyyy gives a money of aal coin
But you know I didn’t they have all time time.
Mrr y.Fyyy gives a money of aal coin
You emight, also also again, too.
Just imagine on, Baby there is time at time ( Noe time)
Bades I have me I am fine fine.
And heart the same time, I am so high (Yigg)
Mom do a rock, mot, mort stood out on
Sham a edown , you will be fine fine fine.
Like the fine wea, there is no vacation.
Sw about food, Extrastor Profyorments
May May love me to love, he will show you more more than more.
. There was it the right time to God.
I was the name I was to Ephen, Bolien.
I was the truth.
Mon yaced God for the right thing'.
You, yes, ye.

I was the kingdom of God’s Word at the Word of God and Grub.
I was the Word of the truth.
I had to be done for the truth.
I'm finding looking at anyone’s money he wants (alone.
No people hear what people talk (Poonis they talked)
I was the Word of the truth that I had done to do,
This life is one, I don't have to have a hands.
He will take it to do what he loves.

What you love
Don’t be what he wants to love.
What he loves he will do him with all my heart.
O go outrona don't be a vutions.
Mrr y.Fyyy gives a money of aal coin
But you know I didn’t they have all time time.
Mrr y.Fyyyal dalalim"
50,Norway,Lewis Capaldi,Someone You Loved,"Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
You might also like
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved168Embed"
51,Pakistan,Abdul Hannan,Bikhra,"Aarzu jo
Teri Honay Lagi
Hoshon mein
Rehta nahi
Na janay kyun tu hee tu
Dil mein bassa hae
Tere bina kya jiyoon
Bikhra Ye Mann Kya Sitam
Tu ne hein dhaaye
Phir bhi mein kuch na kahoon
Ye tou bata kya hae mubtla
Meri Nazar Ke Shikaar Mei
Ye tou pata tujhe hae bhalla
Sab hae tere ikhtiyar mein
Jaan le tu
Badal bhi jayein sabhi
Mein rahoonga
IK sa yahin
Na janay kyun tu hee tu
Dil mein bassa hae
Tere bina kya jiyoon
Bikhra Ye Mann Kya Sitam
Tu ne hein dhaaye
Phir bhi mein kuch na kahoon
Na janay kyun tu hee tu
Dil mein bassa hae
Tere bina kya jiyoon
Bikhra Ye Mann Kya Sitam
Tu ne hein dhaaye
Phir bhi mein kuch na kahoon
Na janay kyun
Dil mein hae tu kyun
Na janay kyun
IK tu hee tu
Na janay kyun
Hmmmmmm
Phir bhi mein kuch na kahoonyou might also like"
52,Panama,J Balvin,LA CANCIÓN,"I thought I had forgot you, huh
But they put the song, huh, eh, eh
That Cantamo ’well drunk '
That dancing 'well drunk ’
We kissed 'well drunk' the two
I thought I had forgot you, huh
But they put the song, huh, eh, eh
That Cantamo 'well drunk'
That dancing 'well drunk'
We kissed ’well drunk’ both
I thought I had forget you

Just when he believed
That for eating do ’or ten, I would forget you '(Yeh)
I took a breath and got out of the road
And like a asshole, I didn't know what he was doing
I never overcame it, I never overcome you (no; no)
I even learned to'a the 'ballad ’in English' (Yeh)
I breathed and told up to three (one, two, three)
Ere 'Kanye West's dark fantasy, baby, ey
A long time ago it came out expensive (yih)
I only twitteo, 'crazy' shot (yih)
How to forget the beautiful car in the car?
What did he guide alone?
You Might Also Like
I thought I had 'forget you (but not), Yeh
But they put the song, Yeh, Yeh
That we sing well drunk
What dance 'well drunk
We kissed 'well drunk' lo 'dos
I thought I had 'forget you, huh
But they put the song, Yeh, Yeh
That Cantamo 'well drunk'
That dancing 'well drunk'
We kissed 'well drunk' both, hey, hey

And I hadn't come to my head for a long time
But they are already a couple of beer '
And I remembered how you kisses me '
Of to 'lo' dust 'on top' and the table
And in the car, the beach, and the motel
At your Pai's house, when I was going to see you
I see them that you 'no' came to take
You jumping Mojaíta ', sweating Chanel
I know that ours yesterday
And it makes me happy that you do well with him
I neither missed you nor wanted to see you
But they put the song you liked to put
And I remembered you, when you made me happy
It ended, then, I left, he
I laugh myself because—
I thought I had 'forget you, huh
But they put the song, Yeh, Yeh
That we sing well drunk
What dance 'well drunk
We kissed 'well drunk' lo 'do'


And I thought your name was dead, huh
But I dreamed you awake, hey
Today I left the loose street
Without feeling ', the desert heart
And I thought your name was dead
But I dreamed you awake
Today I left the loose street
Without feeling ', the desert heart11embed"
53,Paraguay,J Balvin,LA CANCIÓN,"I thought I had forgot you, huh
But they put the song, huh, eh, eh
That Cantamo ’well drunk '
That dancing 'well drunk ’
We kissed 'well drunk' the two
I thought I had forgot you, huh
But they put the song, huh, eh, eh
That Cantamo 'well drunk'
That dancing 'well drunk'
We kissed ’well drunk’ both
I thought I had forget you

Just when he believed
That for eating do ’or ten, I would forget you '(Yeh)
I took a breath and got out of the road
And like a asshole, I didn't know what he was doing
I never overcame it, I never overcome you (no; no)
I even learned to'a the 'ballad ’in English' (Yeh)
I breathed and told up to three (one, two, three)
Ere 'Kanye West's dark fantasy, baby, ey
A long time ago it came out expensive (yih)
I only twitteo, 'crazy' shot (yih)
How to forget the beautiful car in the car?
What did he guide alone?
You Might Also Like
I thought I had 'forget you (but not), Yeh
But they put the song, Yeh, Yeh
That we sing well drunk
What dance 'well drunk
We kissed 'well drunk' lo 'dos
I thought I had 'forget you, huh
But they put the song, Yeh, Yeh
That Cantamo 'well drunk'
That dancing 'well drunk'
We kissed 'well drunk' both, hey, hey

And I hadn't come to my head for a long time
But they are already a couple of beer '
And I remembered how you kisses me '
Of to 'lo' dust 'on top' and the table
And in the car, the beach, and the motel
At your Pai's house, when I was going to see you
I see them that you 'no' came to take
You jumping Mojaíta ', sweating Chanel
I know that ours yesterday
And it makes me happy that you do well with him
I neither missed you nor wanted to see you
But they put the song you liked to put
And I remembered you, when you made me happy
It ended, then, I left, he
I laugh myself because—
I thought I had 'forget you, huh
But they put the song, Yeh, Yeh
That we sing well drunk
What dance 'well drunk
We kissed 'well drunk' lo 'do'


And I thought your name was dead, huh
But I dreamed you awake, hey
Today I left the loose street
Without feeling ', the desert heart
And I thought your name was dead
But I dreamed you awake
Today I left the loose street
Without feeling ', the desert heart11embed"
54,Peru,Danny Ocean,Me Rehúso,"BA-BA-Babylon Girl, Ba-Ba-Babylon Girl
This song is for you

Tell me how I explain to my destiny that you are no longer there
Tell me how I will give off this frenzy
This madness I feel for you
With this chemistry you do in me
And I can't, girl, I can't, girl

Baby disculp me if I excited you I didn't want to do it
I know that in love when that is real, come back (come back, come back)
But how to forget your skin and how to forget a woman
I can't, Girl, I can't, Girl

Baby, no (baby, no)
I refuse to give you a last kiss so keep it (guádalo)
So that next time I will do it (doing it)
Doing it like this, so
Just as you like, baby
See Danny Ocean Liveget Tickets As Low As $ 47you Might Also Like
Without looking back, without looking for anyone else
I just want to be with you, wouh
If I don't have you here with me I don't want to be your friend
Because you are my path, Wouh
And I just want to be with you
Baby, please understand him
Just give me your hand and trust me
If you miss just my voice
And give him time (time), mommy, at the same time (time)
That you, that I, are made to be both
And give him time (time), baby, at the same time (time)
That you and me, that you and me
We are made to be both

Baby, no (baby, no)
I refuse to give you a last kiss so keep it (guádalo)
So that next time I will do it (doing it)
Doing it like this, so
Just as you like, baby
Baby, no
I refuse to give you a last kiss so keep it (guádalo)
So that next time I will do it to you
Doing it like this, so
Just as you like, baby
Thus, as you like, Baby

Baby no
Baby, no (baby, no)
I refuse to give you a last kiss so keep it (guádalo)
So that next time I will do it to you
Doing it like this, so
Just as you like baby
And baby, no (baby, no)
I refuse to give you a last kiss so keep it (guádalo)
So that next time I will do it to you
Doing so, so
Just as you like baby21embed"
55,Philippines,Ben&Ben,Kathang Isip,"Includes the sweetness of yesterday
Nights' unaware time flying
Moments of sailing if we are driven
Every thrill that feels every time you hold your hand
It's misconceptions, a big balcony

I'm sorry
In these fiction
It seems to be just because of loving you
I'm awake
In this dream
And finally willingly away from you
(Away from)

How fast started
Such was the disappearance
Can we go back to the beginning?
To keep the heart alone?

Sorry you already (apologies)
In these fiction
It seems to be just because of loving you
I'm awake (I'm awake)
In this dream
And finally willingly away from you
(Away from)
You might also like
Coincide with the stream written by destiny
That sometimes he is for you, but sometimes he is hoping
Run away, forget everything
Ooh-ooh, ooh-ooh, ooh-ooh-ooh

But everywhere he turns
It was a look yesterday
And in my every breath
You are the one on my mind, darling

So be patient with you
In these fiction
It seems to be just because of loving you
I'm awake
From this dream I
And finally willingly away from you
(Away from)

'Isn't this what you want?
Oh, it's going to leave i18emd"
56,Poland,White 2115,California,"There will be a sunset with me
And ... California

I love it when the days are longer
And it is damn dry in dust
And everyone has to drink with me
It's like girls, they wake up
Move to the water, hey
To drive a car
Fuck navigation brother
I already know the way well
Hey, he's, Energola full of cardboard, I through the city 160
Herje, dick in fines, I do not pay them, the photo will send me in a month
From the radio ""guns n 'roses""
I feel the wind in the sunroof
I'm going around Californo, because today will be ""American Pie""
I want to swim well today as if I was swimming with an expensive ship
Dick in these material things
Because this memory is forever, you know

And take this job to set aside
Let's light a cigarette
Let the bottle have no end
There will be a sunset with me
And ... California
Hey, hey, hey, hey
And ... California
Hey, hey, hey, hey
And ... California
Hey, hey, hey, hey
You might also like
I take the take -out sham
They say ""latinos"", sick
Only pour the wine to me
Better not see what is
I prefer a soft one
Jim Beam, not Ciroc, Moët
And dick with this ziomek
I will bring you a new one soon
The money seems
And I'm not even a pity
I lose my health, because I smoke
And I'm not even a pity, hey
I drunk my watch
And I'm not even a pity, you know
I drunk what I had
And guess the fuck what

And take this job to set aside
Let's light a cigarette
Let the bottle have no end
There will be a sunset with me
And ... California
Hey, hey, hey, hey
And ... California
Hey, hey, hey, hey
And ... California
Hey, hey, hey, hey
I see the sun on the water, five more minutes old
Because I haven't grown up yet
I want to drink beer on the beach, hey
I see the sun on the water, five more minutes old
Because I haven't grown up yet
I want to drink beer on the beach
Let it never end like ""American Pie""
Let it never end like ""American Pie""
Let it never end like ""American Pie""
Let it never end like ""American Pie"" 9embed"
57,Portugal,Wet Bed Gang,Devia Ir,"I know you dream of me, but your friends paint me like a nightmare
This is because they don't want us to come back
Shit on your friends
It is waiting for me at the door
(But what time reaches?)

At 4 am, Ayy
I shouldn't even go, but the head just says ""Go, Go, Go""
Head just says ""Go, Go, Go""
At 4 am
I shouldn't even go, but the head just says ""Go, Go, Go""
Head just says ""Go, Go, Go"", Yeah, Yeah, Yeah

Huh, at 4, the head only hears your voice
Flashbacks mine and yours at Bed after performances
I know just a call and I'm your choiice, haha
Dick and vagina, thus acting on two
It was so that they avoid such situations, but judgment does not enter these hearts
I became the light for the ways to be the dark
It is not difficult to make a girl like
Now I like it, after August still fuck you
The husband bet that outside there is another, no longer fucks, but
What matters is that at 4 the iPhone plays
Time of Coitus, Playboy and Bunny in the Track
When she says he eats, I
Dawn shakes the all night long bed
Flight mode, I won't be online today
I will put you on fire
You might also like
And I know your Damo is all insecure
Because you know you are more mine than his
I know you dream of me
But your friends paint me like a nightmare
This is because they don't want us to come back
Shit on your friends
It is waiting for me at the door
Wait, I'm going to have you

At 4 am, Ayy
It wasn't supposed to go, but the head just says ""Go, Go, Go""
Head just says ""Go, Go, Go""
At 4 am
It wasn't supposed to go, but the head just says ""Go, Go, Go""
Head just says ""Go, Go, Go""

But if you are you fix like this
""Ride Slow, Ride Slow, Baby""
Then tell me ""go alone, go, baby""
Then tell me ""more sound, more sound""
But if you are so fixed it, yeah
Tell me ""Ride Slow"", then ""Go alone""
Then ""Come alone, stronger,"" Oh God, Yeah, Yeah
And you are present from the pillows, not from escape to suga
A half crazy, txutxuka budjurra mixture
And when I get the house, the mania is over
And when I put the ""melanin"", sambas, txuka-txutxuka-txutxuka
Yeah, I'm a kid, I'm gross, I hurt, Yeah, I know
But I also know that I am the biggest reason for the discussion
With this boy you have all day

Zara G, Nigga
I don't want to discuss with you
I was at home yesterday, they must have confused me
I know it's hard to make you believe in me
I can warn you if I need to betray you
Whenever you are upset I am the one who makes you laugh
No one can tell me where I can go
Shit on your boyfriend, it's 4 am
Call a taxi for my house, arrives and take your pants
Your friends are false
You know, only disguises
And every time you bazaar
They send me message
But I don't even answer
I don't even tell you either
I have a brain full of smoke
'Tou in stores without discount
Who has a lot of cash, buy
Tomorrow if you don't return
I will probably go
In the studio with my boys
Until 4 am, Haha, Yeah
Making new songs for you to share
But I know that your Damo is all insecure
Because you know you are more mine than his
And I know you dream of me
But your friends paint me like a nightmare
This is because they
Don't want us to come back
Shit on your friends
It is waiting for me at the door
Wait, I'm going to have you

At 4 am
I shouldn't even go, but the head just says ""Go, Go, Go""
Head just says ""Go, Go, Go""
At 4 am
I shouldn't even go, but the head just says ""Go, Go, Go""
Head just says ""Go, Go, Go""

But if you are you fix like this
""Ride Slow, Ride Slow, Baby""
Then tell me ""go alone, go, baby""
Then tell me ""more sound, more sound""
But if you are so fixed it, yeah
Tell me ""Ride Slow"", then ""Go alone""
Then ""Come alone, stronger,"" Oh God, Yeah, Yeah
At home or in the boat
I want you to stir the same way
Even if I have to pay you a shot
I just don't want you to talk about love
At home or in the boat
I want you to stir the same way
Even if I have to pay you a shot
I just don't want you to talk about love
I'm down here2embed"
