,country,artist,title,lyrics
38,Kazakhstan,Ulukmanapo,Расстояние,"6 ContributorsРасстояние (Rasstoyanie) Lyrics

You and me
I think we're meant to be
I think the stars aligned
When you entered my life
You and me
I think we're meant to be
I think the stars aligned
When you entered my life
You and me
I think we're meant to be
I think the stars aligned
When you entered my life

Между нами расстояние
Но я слышу твоё дыхание
Во снах вижу твоё сияние
За что такое наказание?
Между нами расстояние
Но я слышу твоё дыхание
Во снах вижу твоё сияние
За что такое наказание?
You might also like
Ты сама меня заманила, мою голову вскружила
Говорила то, что никого так сильно не любила
По телу эндорфины, всё было как в фильме
Где любовь и мир, но
Между нами всё было временно
Ушли по разным сторонам
Связь давно потеряна, это была твоя игра (Твоя игра)
Лишь твоя вина
Я и ты уже не будем никогда вместе (Нет)
Ты ведь меня тайно предала
Скажи мне, как ты могла?
Зачем ты это сделала? (Зачем ты это сделала?)
Дура, взяла и всё разрушила (Эй)
Я был слишком наивен, попал в твою паутину
Ты моё время убила, сердце разбила
Но я нашёл в себе силы забыть всё, что у нас было
Я изменил свою жизнь, е
Теперь смотри каким я стал, свои локти кусай
Я говорю тебе: «Давай, пока, bye-bye»
Я видел драму под обманом, но, дама
Я больше в твои игры не играю, не играю
Прощай навсегда, fake love, la-la-la-love
Fake love, la-la-la-love
Детка, уже поздно плакать, don’t cry
Детка, уже поздно плакать, don’t cry
Теперь тебя нету рядом, нету рядом
Детка, падай водопадом, водопадом
Прямо на меня, я словлю тебя
Только теперь тебя нету рядом, нету рядом
Детка, падай водопадом, водопадом
Прямо на меня, э-э, я словлю тебя, э-э

Между нами расстояние (Расстояние)
Но я слышу твоё дыхание (Твоё дыхание)
Во снах вижу твоё сияние (Твоё сияние)
За что такое наказание? (Наказание)
Между нами расстояние (Расстояние)
Но я слышу твоё дыхание (Твоё дыхание)
Во снах вижу твоё сияние (Твоё сияние)
За что такое наказание?

Fake love, la-la-la-love
Fake love, la-la-la-love
Fake love, la-la-la-love
Fake love, la-la-la-loveEmbed"
39,Latvia,The Neighbourhood,Sweater Weather,"192 ContributorsTranslationsTürkçePortuguêsDanskРусскийPortuguêsFrançaisDeutschالعربيةItalianoSweater Weather Lyrics
And all I am is a man
I want the world in my hands
I hate the beach, but I stand
In California with my toes in the sand
Use the sleeves of my sweater, let's have an adventure
Head in the clouds, but my gravity's centered
Touch my neck and I'll touch yours
You in those little high-waisted shorts, oh

She knows what I think about
And what I think about
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater

And if I may just take your breath away
I don't mind if there's not much to say
Sometimes the silence guides a mind
To move to a place so far away
The goosebumps start to raise
The minute that my left hand meets your waist
And then I watch your face
Put my finger on your tongue 'cause you love the taste, yeah
These hearts adore
Everyone the other beats hardest for
Inside, this place is warm
Outside, it starts to pour
You might also like
Comin' down
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothin' that I wouldn't wanna tell you about
No, no, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
Woah

Woah, woah, woah
Woah, woah, woah, woah
Woah, woah
Woah, woah, woah, woah
Woah, woah

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
Let me hold both your hands in the holes of my sweater
And it's too cold, it's too cold
The holes of my sweater516Embed"
40,Lithuania,The Weeknd,Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
41,Luxembourg,The Weeknd,Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
42,Malaysia,James Arthur,Say You Won't Let Go,"150 ContributorsTranslationsΕλληνικάTürkçePortuguêsDeutschالعربيةBahasa IndonesiaSay You Won’t Let Go Lyrics
I met you in the dark, you lit me up
You made me feel as though I was enough
We danced the night away, we drank too much
I held your hair back when you were throwin' up

Then, you smiled over your shoulder
For a minute, I was stone-cold sober
I pulled you closer to my chest
And you asked me to stay over
I said, ""I already told ya
I think that you should get some rest""

I knew I loved you then, but you'd never know
'Cause I played it cool when I was scared of letting go
I knew I needed you, but I never showed
But I wanna stay with you until we're grey and old

Just say you won't let go
Just say you won't let go

I'll wake you up with some breakfast in bed
I'll bring you coffee with a kiss on your head
And I'll take the kids to school, wave them goodbye
And I'll thank my lucky stars for that night
See James Arthur LiveGet tickets as low as $43You might also like
When you looked over your shoulder
For a minute, I forget that I'm older
I wanna dance with you right now, woah
And you look as beautiful as ever
And I swear that every day, you'll get better
You make me feel this way somehow

I'm so in love with you and I hope you know
Darlin', your love is more than worth its weight in gold
We've come so far, my dear, look how we've grown
And I wanna stay with you until we're grey and old

Just say you won't let go
Just say you won't let go

I wanna live with you even when we're ghosts
'Cause you were always there for me when I needed you most

I'm gonna love you till my lungs give out
I promise till death we part, like in our vows
So, I wrote this song for you, now everybody knows
That it's just you and me till we're grey and old
Just say you won't let go
Just say you won't let go
Just say you won't let go
Oh, just say you won't let go153Embed"
43,Malta,Ed Sheeran,Shape of You,"352 ContributorsTranslationsTürkçeEspañolPortuguêsΕλληνικάDeutschFrançaisItalianoالعربيةShape of You Lyrics
A club isn't the best place to find a lover
So the bar is where I go (Mm)
Me and my friends at the table doin' shots
Drinkin' fast and then we talk slow (Mm)
And you come over and start up a conversation with just me
And trust me, I'll give it a chance now (Mm)
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance and now I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body
See Ed Sheeran LiveGet tickets as low as $85You might also like
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

One week in, we let the story begin
We're goin' out on our first date (Mm)
You and me are thrifty, so go all-you-can-eat
Fill up your bag and I fill up a plate (Mm)
We talk for hours and hours about the sweet and the sour
And how your family is doin' okay (Mm)
And leave and get in a taxi, and kiss in the back seat
Tell the driver make the radio play and I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you409Embed"
44,Mexico,Danny Ocean,Me Rehúso,"39 ContributorsMe Rehúso Lyrics

Ba-Ba-Babylon girl, Ba-Ba-Babylon girl
Para todos aquellos amores que, que fueron obligados a ser separados
Ba-Ba-Babylon girl, Ba-Ba-Babylon girl
Esta canción es para ti

Dime cómo le explico a mi destino que ya no estás ahí
Dime cómo haré para desprenderme de este frenesí
Esta locura que siento por ti
Con esta química que haces en mí
Y ya no puedo, girl, ya no puedo, girl

Nena discúlpame si te ilusioné yo no lo quise hacer
Sé que en el amor cuando es real ese vuelve, vuelve (Vuelve, vuelve)
Pero cómo olvidar tu piel y cómo olvidarte mujer
Ya no puedo, girl, ya no puedo, girl

Baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo (Haciéndolo)
Haciéndotelo así, así, así
Así como te gusta, baby
See Danny Ocean LiveGet tickets as low as $47You might also like
Sin mirar atrás, sin buscar a nadie más
Sólo quiero estar contigo, wouh
Si no te tengo aquí conmigo yo no quiero ser tu amigo
Porque tú eres mi camino, wouh
Y yo sólo quiero estar junto a ti
Nena, por favor entiéndelo
Sólo dame tu mano y confía en mí
Si te pierdes sólo sigue mi voz
Y dale tiempo (Tiempo), mami, al tiempo (Tiempo)
Que tú, que yo, estamos hechos para estar los dos
Y dale tiempo (Tiempo), baby, al tiempo (Tiempo)
Que tú y yo, que tú y yo
Estamos hechos para estar los dos

Baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo (Haciéndolo)
Haciéndotelo así, así, así
Así como te gusta, baby
Baby, no
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así, así
Así como te gusta, baby
Así, así, así como te gusta, baby

Baby no
Baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así, así
Así como te gusta baby
Y baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así
Así como te gusta baby21Embed"
45,Morocco,CKay,love nwantiti,"7 ContributorsLove Nwantiti Remix LyricsVerse 1:
My baby my valentine
Girl na you dey make my temperature dey rise
If you leave me i go die
I swear you are like the oxygen i need to survive
I’ll be honest
Your lovin dey totori me
I am so obsessed
I want to chop your nkwobi
Ule your body dey gbakam isi
Ule open am make i see ule
Nyem love nwantinti
Wey fit make a bad man sing o
Chorus:
Ah ah ah ah ah ah
Ah ah ah ah ah ah ahh
(x4)
Verse 2:
Ouais toute ma vie w’kandour b’lil, Jack fl’ydd, j’essaye d’te pister bébé (yea-ea-eah)
Sombre est ma ville, 9bel 12 d’lil, kanchreb, kanshoufek fl’kissan bébé (yea-ea-eah)
Très jolies cuisses, là j’décale la ficelle, zine bombe atomique : m3aki baghi nchouf mon fils yea-yeah
7ta walidik bghaw y3erfo fin saken, f’7yati chnou kandir : Kanserref La Sal3a d’Issaguen
Gelbi chafek ghewwet « Aah-ah-ah-ah-ah-ah »
To’ vaillant Bhal Kirikou, 3la weddek mankhsser ta Combaa-a-a-a-a-at
Lovini my baby boo, lovini ghandirou fawda
You might also likeChorus:
Ah ah ah ah ah ah
Ah ah ah ah ah ah ahh
(x4)
Outro:
You mean the world to me
You’re my living fantasy
Ayayaa i love you
Ayayaa no one above youEmbed"
46,Netherlands,Davina Michelle,Duurt Te Lang,"11 ContributorsDuurt Te Lang Lyrics

We konden over alles praten, alles
Maar alles ging over de liefde, we vergaten alles
In een brief, een sms'je, in een liedje schreef ik
""Ik zal alles voor je doen en voor je liefde leef ik""
En die liefde kreeg ik, en vaak in overmate
Je kon de drempels van het leven aan me overlaten
Je zag die meiden haten, want ik had m'n superheld
Je had je vrienden net te vaak over mij verteld
Nu staren we samen naar de tafel met de mondjes dicht
Blikken die vanzelf spreken in ons gezicht
Ik heb het overgrote deel van alles aangericht
Maar ik rijd te lang in deze tunnel en ik zie geen licht
Dus doe je ogen dicht voor onze laatste set
En denk terug aan het kleine huisje met het kleine bed
Shit, maar morgen is de pijn terug
Staan we uren op de halte, rijdt de trein terug

Het duurt te lang
We staan hier al een tijdje
En we moeten door
Dus voor de laatste keer, het spijt me
Het duurt te lang, woah
Het duurt te lang
We staan stil, wat jij wil, wat ik wil
Het duurt te lang
See Davina Michelle LiveGet tickets as low as $61You might also like
Twee stille mensen aan de tafel, het is geen gezicht
Ik kan die route niet belopen met m'n ogen dicht
Je weet precies wat ik ga zeggen, 'k weet het ook van jou
En op het eind vertel ik vast hoeveel ik van je hou
En daarna slaan de deuren weer en breekt er weer een glas
Daarna valt er weer een traan en pak ik weer m'n tas
En daarna hou ik je weer stevig vast
En leg m'n kleren weer terug in de kast
(Dus) Ik hou je nog een poosje vast
(Want) Dan vergeet je nog hoe boos je was
Maar de pijn blijft zitten, dus het helpt niet
Dus waarschijnlijk is het morgen weer hetzelfde lied
De tekst komt op hetzelfde neer in dezelfde beat
Een soort van gouden verf op een blok verdriet
Conflicten zijn normaal, maar het moet ons niet verstikken
M'n tranen vallen niet, dus ik laat het liedje snikken

Het duurt te lang
We staan hier al een tijdje
En we moeten door
Dus voor de laatste keer, het spijt me
Het duurt te lang, woah
Het duurt te lang
(We staan stil, wat jij wil, wat ik wil)
Het duurt te lang4Embed"
47,New Zealand,L.A.B.,In the Air,"2 ContributorsIn The Air Lyrics
Ooh, I feel it everywhere
It's cold breathing in the dark
Take me on, I'll lead you there
And call me when you'll be far
I don't wanna let you down
Slow leaving up too long
Ooh, I feel it in the air
You know me, I'll keep you on

It's evident you want me now (Baby)
My heart's beating on the floor
I see it and then turn around
You move me but I want more
The memory is in the air
(The memory is in the air)
And music is all we need
Ooh, I feel it, can't you see?
(Can't you see?)
You know me, I'll keep you there

Ooh, I get that feeling
Can I take you on a ride?
(Take you on a ride?)
Knowing what I know
I can see it, baby, in your eyes
'Cause it's going, we're full 'til the morning
On the burning night, hey
I can take a chance
Loving your romance tonight
You might also like
Girl, you know you turn me on
(Know you turn me on)
I like it, oh, can't you see?
The way you're moving on the floor
(Moving on the floor)
The fire, the way you breathe
Can I take you home tonight?
(You can take me home tonight)
We're flying beneath the sheets
Holding on to make me strong (Ooh)
Tonight is the night I needEmbed"
48,Nicaragua,J Balvin,LA CANCIÓN,"51 ContributorsTranslationsEnglishDeutschLA CANCIÓN Lyrics

Yeh, yeh, yeh

Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo’ bien borracho'
Que bailamo' bien borracho’
Nos besamo' bien borracho' los dos
Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo’ bien borracho’ los dos
Pensaba que te había olvida'o

Justo cuando creía
Que por comerme a do’ o diez, te olvidaría' (Yeh)
Cogí un respiro y me salí de la vía
Y como un pendejo, no sabía lo que hacía
Nunca lo superé, nunca te superé (No; no)
Hasta me aprendí to'a la' balada’ en inglé' (Yeh)
Respiré y conté hasta tres (Uno, dos, tres)
Ere' la fantasía oscura de Kanye West, bebé, ey
Hace tiempo lo barato me salió caro (Yih)
Yo sólo twitteo, bala' loca' disparo (Yih)
¿Cómo olvidar la bellaquera en el carro?
¿A que guió solo?
You might also like
Pensaba que te había' olvida'o (Pero no), yeh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' dos
Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo' bien borracho' los dos, ey, ey

Y hace tiempo que no venía' a mi cabeza
Pero ya van par de cerveza'
Y me acordé de cómo tú me besa'
De to' lo' polvo' encima 'e la mesa
Y en el carro, la playa, y el motel
En casa de tu pai', cuando yo te iba a ver
Las vece' que tu mai' no' llegó a coger
Tú brincando mojaíta', sudando Chanel
Yo sé que lo nuestro e' cosa de ayer
Y me pone contento que te va bien con él
Yo ni te extrañaba ni te quería ver
Pero pusieron la canción que te gustaba poner
Y me acordé de ti, cuando me hiciste feliz
Se acabó, pues, me fui, ey
Yo mismo me río de mí porque—
Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' do'


Y yo pensaba que tu nombre estaba muerto, eh
Pero te soñé despierto, ey
Hoy salí pa' la calle suelto
Sin sentimiento', el corazón desierto
Y yo pensaba que tu nombre estaba muerto
Pero te soñé despierto
Hoy salí pa' la calle suelto
Sin sentimiento', el corazón desierto11Embed"
49,Nigeria,Asake,Lonely At The Top,"20 ContributorsLonely At The Top Lyrics
Ooh
OohBah

It's lonely at the top (Lonely, lonely, lonely)
Money on my mind (Money, money, money)
Don’t care what they yarning about me in particular
Ko kan mi, kan mi, kan mi
Out here on the road chasing my dream because I know
No one can chase it for me

Ọ́lọlọlade maa n gb'ọmọ lọ (Gb'ọmọ lọ)
Bọrọkọtọ idi ṣ’ọmọ lọ (Idi ş'ọmọ lọ)
Ẹ fi wọn s'ilẹ jẹ kan ma lọ
No dey find anybody na money I want (Me I want)
No dey hear wetin people dey talk (People dey talk)
Wọn ti ge Aṣakẹ l'eti lọ (L'eti lọ)
This life na one, I no get another one
I go takе am do wetin I love

Wetin you lovе o
No be wetin I love o
Wetin I love I go do am with all my heart o
Ogogoro no be vodka
Mr. Money ginger
But una know I no dey waste time
Mr. Money ginger
You might also like
Just carry on, baby no time (No time)
Bad boy dey me I dey fine
And at the same time, me I dey high (High)
Mo duro tan, mo stand out
Calm down , you go dey fine
Like fine wine, no decline
Sing about it, extraordinary things
Show me love, I go show you more
O pọ lọ pọ, pọ
Wo bo ṣe n ṣe, wo bo ṣe n ṣe
Ọmọ e don tey, ję 'a ṣ'ere kére
Mo n fọ f'aye, mo ti fọ f’aye
Ye, ye

Ọ́lọlọlade maa n gb’ọmọ lọ (Gb'ọmọ lọ)
Bọrọkọtọ idi ṣ’ọmọ lọ (Idi ş'ọmọ lọ)
Ẹ fi wọn s'ilẹ jẹ kan ma lọ
No dey find anybody na money I want (Me I want)
No dey hear wetin people dey talk (People dey talk)
Wọn ti ge Aṣakẹ l'eti lọ (L’eti lọ)
This life na one, I no get another one
I go take am do wetin I love

Wetin you love o
No be wetin I love o
Wetin I love I go do am with all my heart o
Ogogoro no be vodka
Mr. Money ginger
But una know I no dey waste time
Mr. Money gingerEmbed"
50,Norway,Lewis Capaldi,Someone You Loved,"223 ContributorsTranslationsSvenskaEspañolPortuguêsDeutschNederlandsFrançaisTürkçeالعربيةSomeone You Loved Lyrics
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
You might also like
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved168Embed"
51,Pakistan,Abdul Hannan,Bikhra,"3 ContributorsBikhra LyricsDekh le tu
Aajzi ye meri
Aaj bhi main
Tera yahin
Aarzu jo
Teri honay lagi
Hoshon mein
Rehta nahi
Na janay kyun tu hee tu
Dil mein bassa hae
Tere bina kya jiyoon
Bikhra ye mann kya sitam
Tu ne hein dhaaye
Phir bhi mein kuch na kahoon
Ye tou bata kya hae mubtla
Meri nazar ke shikaar mei
Ye tou pata tujhe hae bhalla
Sab hae tere ikhtiyar mein
Jaan le tu
Badal bhi jayein sabhi
Mein rahoonga
Ik sa yahin
Na janay kyun tu hee tu
Dil mein bassa hae
Tere bina kya jiyoon
Bikhra ye mann kya sitam
Tu ne hein dhaaye
Phir bhi mein kuch na kahoon
Na janay kyun tu hee tu
Dil mein bassa hae
Tere bina kya jiyoon
Bikhra ye mann kya sitam
Tu ne hein dhaaye
Phir bhi mein kuch na kahoon
Na janay kyun
Dil mein hae tu kyun
Na janay kyun
Ik tu hee tu
Na janay kyun
Hmmmm
Phir bhi mein kuch na kahoonYou might also likeEmbed"
52,Panama,J Balvin,LA CANCIÓN,"51 ContributorsTranslationsEnglishDeutschLA CANCIÓN Lyrics

Yeh, yeh, yeh

Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo’ bien borracho'
Que bailamo' bien borracho’
Nos besamo' bien borracho' los dos
Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo’ bien borracho’ los dos
Pensaba que te había olvida'o

Justo cuando creía
Que por comerme a do’ o diez, te olvidaría' (Yeh)
Cogí un respiro y me salí de la vía
Y como un pendejo, no sabía lo que hacía
Nunca lo superé, nunca te superé (No; no)
Hasta me aprendí to'a la' balada’ en inglé' (Yeh)
Respiré y conté hasta tres (Uno, dos, tres)
Ere' la fantasía oscura de Kanye West, bebé, ey
Hace tiempo lo barato me salió caro (Yih)
Yo sólo twitteo, bala' loca' disparo (Yih)
¿Cómo olvidar la bellaquera en el carro?
¿A que guió solo?
You might also like
Pensaba que te había' olvida'o (Pero no), yeh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' dos
Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo' bien borracho' los dos, ey, ey

Y hace tiempo que no venía' a mi cabeza
Pero ya van par de cerveza'
Y me acordé de cómo tú me besa'
De to' lo' polvo' encima 'e la mesa
Y en el carro, la playa, y el motel
En casa de tu pai', cuando yo te iba a ver
Las vece' que tu mai' no' llegó a coger
Tú brincando mojaíta', sudando Chanel
Yo sé que lo nuestro e' cosa de ayer
Y me pone contento que te va bien con él
Yo ni te extrañaba ni te quería ver
Pero pusieron la canción que te gustaba poner
Y me acordé de ti, cuando me hiciste feliz
Se acabó, pues, me fui, ey
Yo mismo me río de mí porque—
Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' do'


Y yo pensaba que tu nombre estaba muerto, eh
Pero te soñé despierto, ey
Hoy salí pa' la calle suelto
Sin sentimiento', el corazón desierto
Y yo pensaba que tu nombre estaba muerto
Pero te soñé despierto
Hoy salí pa' la calle suelto
Sin sentimiento', el corazón desierto11Embed"
